Name:,Samsung -DVD/VCR/MCard V8500,,,,v9.05,,,,,,,CURRENT DATA
Devices:,NECx2,5,5,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,2041,04 = Millennium 4,03 - VCR,EFC,USE,31 5F 5F,1,No,,,,
Millennium 4 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 27 F9 (VCR/2041) Samsung -DVD/VCR/MCard V8500 (KM v9.05),,,,,,,,,,,,
5A 15 7E FD 31 5F 5F 1F 2F 0F B7 F7 ED 65 85 7F 67 67 E7 A7 57 D7,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 27 F3 27 F9 E9«menu»¦2C F3 27 F9 F9«disk menu» ¦31 F3 27 F9 CB«up arrow»  ¦32 F3 27 F9 4B«down arrow»¦33 F3 27 F9 17«left arrow»¦34 F3 27 F9 37«right arrow»  ¦14 F3 27 F9 3D«select / enter»  ¦20 F3 27 F9 87«info»¦23 F3 27 F9 47«return / exit»¦95 F3 27 F9 55«100+»¦B1 F3 27 F9 3B«Memory Card (MC select/DVD mode)»  ¦B2 F3 27 F9 3B«Memory Card (MC select/DVD mode)»  ¦B3 F3 27 F9 55«DVD (select DVD)»¦B4 F3 27 F9 EB«VCR (select VCR)»¦A0 F3 27 F9 BB«subtitle»  ¦8C F3 27 F9 5D«angle / timer»¦8F F3 27 F9 A3«EZ view / speed» ¦8B F3 27 F9 99«mode / repeat»¦8D F3 27 F9 2B«mark / search»¦8E F3 27 F9 B3«open / close» ¦A3 F3 27 F9 73«clear»  ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8) NECx2 (KM v9.05),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 33 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 36 F6 01 33 37 01 03 46 29 0D 46 29 01 8D 01 36 E4 20 1E E4 21 1F 37 01 EB F6 01 36 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,228,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fNo,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
0,121,,0,00 - 0,,Protocol ID,Fixed Data,,,,,
1,180,,1,01 - 1,,,,,,,,16 - 100+
2,184,,2,02 - 2,,,,,,,,
3,182,,3,03 - 3,,,,,,,,
4,053,,4,04 - 4,,,,,,,,
5,057,,5,05 - 5,,,,,,,,
6,055,,6,06 - 6,,,,,,,,
7,052,,7,07 - 7,,,,,,,,
8,056,,8,08 - 8,,,,,,,,
9,054,,9,09 - 9,,,,,,,,
vol up,186,,vol up,10 - vol up,,,,,,,,
vol down,059,,vol down,11 - vol down,,,,,,,,
TV mute / audio,058,,mute,12 - TV mute / audio,,,,,,,,
channel up,119,,channel up,13 - channel up,,,,,,,,
channel down,117,,channel down,14 - channel down,,,,,,,,
power,037,,power,15 - power,,,,,,,,
100+,104,,enter,26 - input select,,,,,,,,
TV/VCR,185,,tv/vcr,17 - tv/vcr,,,,,,,,
last,230,,last,18 - last,,,,,,,,
menu,069,,menu,19 - menu,,,,,,,,
disk menu,197,,guide,20 - disk menu,,,,,,,,
up arrow,084,,up arrow,21 - up arrow,,,,,,,,27 - Memory Card (MC select/DVD mode)
down arrow,088,,down arrow,22 - down arrow,,,,,,,,27 - Memory Card (MC select/DVD mode)
left arrow,122,,left arrow,23 - left arrow,,,,,,,,30 - DVD (select DVD)
right arrow,123,,right arrow,24 - right arrow,,,,,,,,29 - VCR (select VCR)
select / enter,171,,select,25 - select / enter,,,,,,,,
input select,233,,sleep,,,,,,,,,
