Name:,Samsung DVD-V7070,,,,v9.19,,,,,,,,CURRENT DATA
Devices:,NECx2,5,5,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,1240,01 = 15-1994,03 - VCR,OBC,USE,31 5F 5F,1,No,,,,,
15-1994 Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 24 D8 (VCR/1240) Samsung DVD-V7070 (KM v9.19),,,,,,,,,,,,,
5A 20 3E FE FE F9 31 5F 5F B7 F7 BF EB 55 43 07 FF CB 4B 17 37 3D B3 5D 87 A3 65 67 A3 E7 A7 57 D7 43,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8) NECx2 (KM v9.19),,,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 33 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 36 F6 01 33 37 01 03 46 29 0D 46 29 01 8D 01 36 E4 20 1E E4 21 1F 37 01 EB F6 01 36 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,229,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,017,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,1F
num 1,004,,1,01 - num 1,,,,,,,,,15
num 2,005,,2,02 - num 2,,,,,,,,,16
num 3,006,,3,03 - num 3,,,,,,,,,17
num 4,008,,4,04 - num 4,,,,,,,,,19
num 5,009,,5,05 - num 5,,,,,,,,,1A
num 6,010,,6,06 - num 6,,,,,,,,,1B
num 7,012,,7,07 - num 7,,,,,,,,,1C
num 8,013,,8,08 - num 8,,,,,,,,,1D
num 9,014,,9,09 - num 9,,,,,,,,,1E
vol up/+,,,vol up,,,,,,,,,,04
vol down/-,,,vol down,,,,,,,,,,05
mute,,,mute,,,,,,,,,,08
channel/track up,018,,channel up,10 - channel/track up,,,,,,,,,06
channel/track down,016,,channel down,11 - channel/track down,,,,,,,,,07
power,002,,power,12 - power,,,,,,,,,03
enter,,,enter,29 - VCR select,,,,,,,,,12
tv/vcr,001,,tv/vcr,28 - DVD select,,,,,,,,,18
last (prev ch),,,last,37 - return,,,,,,,,,13
menu,031,,menu,14 - menu,,,,,,,,,29
program guide,,,program / guide,36 - digest/frame adv/skip,,,,,,,,,28
up arrow,044,,up arrow,15 - up arrow,082?,,,,,,,,31
down arrow,045,,down arrow,16 - down arrow,080?,,,,,,,,32
left arrow,023,,left arrow,17 - left arrow,115?,,,,,,,,33
right arrow,019,,right arrow,18 - right arrow,119?,,,,,,,,34
setup/enter,067,,select,19 - setup/enter,092?,,,,,,,,35
sleep,,,sleep,31 - open/close,,,,,,,,,2C
pip on/off,,,pip,30 - screen fit,,,,,,,,,2D
display,030,,display,20 - display,,,,,,,,,2A
tape speed,058,,swap,33 - zoom,,,,,,,,,2F
pip move,,,move,35 - angle,,,,,,,,,2E
play/pause/still,025,,play,22 - play/pause/still,,,,,,,,,0C
pause/play (VCR only),022,,pause,21 - tape speed,,,,,,,,,0F
rewind,024,,rewind,24 - rewind,,,,,,,,,0B
fast fwd,026,,fast fwd,25 - fast fwd,,,,,,,,,0D
stop,021,,stop,26 - stop,,,,,,,,,0E
record,020,,record,27 - record,,,,,,,,,10
,,,exit,37 - return,,,,,,,,,2B
DVD select,085,,surround,,,,,,,,,,30
VCR select,040,,,,,,,,,,,,
screen fit,069,,,,,,,,,,,,
open/close,050,,,,,,,,,,,,
mode/repeat,102,,,,,,,,,,,,
