Name:,Pioneer DVR-520H,,,,v8.33,,,,,,,CURRENT DATA
Devices:,Pioneer MIX,171,175,44,42,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,2000,99 = URC-6131 PVR,16 - PVR,OBC,USE,2A CB AB 00 00 0A,2,,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 27 D0 (PVR/2000) Pioneer DVR-520H (KM v8.33),,,,,,,,,,,,
7E 00 BE FE FE FE F9 2A CB AB 00 00 0A FA 01 7A 01 BA 01 3A 01 DA 01 5A 01 9A 01 1A 01 EA 01 6A 01 89 03 09 03 C2 01 BB 00 3B 00 5B 00 DB 00 FB 00 EB 00 8A 03 38 01 F2 01 58 01 B0 01 30 01 39 01 D9 01 62 01 08 01 D0 01 93 01 1A 03 9B 00 1B 00 93 03 82 01 52 01 F2 01 4A 03 CA 03 59 03 D9 03,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 7E (S3C8+) Pioneer MIX (KM v8.33),,,,,,,,,,,,
40 84 62 8B 12 A5 44 08 08 01 12 00 F5 01 12 03 0C 31 76 10 A6 08 3A 08 0A C0 C0 56 C0 0B 87 10 04 19 04 76 0A 01 EB 06 46 29 01 8D 01 46 A6 0D 02 EB 03 E6 0D 05 B0 01 E6 10 01 F6 01 46 E6 01 05 E6 10 06 F6 01 46 F6 01 0A 7B EA AF,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,0,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
Num 0,160,1,0,00 - Num 0,,Protocol ID,Fixed Data,,,,,
Num 1,161,1,1,01 - Num 1,,,,,,,,
Num 2,162,1,2,02 - Num 2,,,,,,,,
Num 3,163,1,3,03 - Num 3,,,,,,,,
Num 4,164,1,4,04 - Num 4,,,,,,,,
Num 5,165,1,5,05 - Num 5,,,,,,,,
Num 6,166,1,6,06 - Num 6,,,,,,,,
