Name:,Topfield TF7100 HD PVRt Plus,,,,v9.20,,,,,,,,CURRENT DATA
Devices:,NEC1,2,52,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,2007,99 = URC-7781,01 - Cable,EFC,USE,20 BF D3,1,No,,,,,
URC-7781 Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code2 0 = 37 D7 (Cable/2007) Topfield TF7100 HD PVRt Plus (KM v9.20),,,,,,,,,,,,,
00 5A 0A 7E FE FE FE F1 20 BF D3 00 00 CF FF 7F AF A7 FF 7F 3F BF 07 3D C7 75 27 05 35 15 25 9D 9F 5D ED AD 2D B5 F5 47 CD 5F 4F 4D DD,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (HCS08) NEC1 (KM v9.20),,,,,,,,,,,,,
20 15 22 47 31 CF 44 08 08 01 17 01 1A 01 17 03 4D D2 F0 11 93 08 CA 3C AC 05 60 1D CD FF 98 24 18 0A 60 07 4E 62 61 33 62 20 16 B6 61 A8 80 B7 61 B6 62 A8 80 B7 62 20 08 0A 60 05 4E 61 62 33 62 4E 63 64 33 64 6E 02 AA 07 60 05 CD FF 8F 25 10 08 60 12 03 60 05 AD 0A CD FF 5F 00 60 02 16 A3 10 A3 CC FF 5C 55 78 35 76 00 60 F4 AD F4 6E C1 A2 33 61 6E 01 6A 20,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,851,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
0,117,,0,00 - 0,,Protocol ID,Fixed Data,,,,,,1F
1,121,,1,01 - 1,,,,,,,,,15
2,119,,2,02 - 2,,,,,,,,,16
3,123,,3,03 - 3,,,,,,,,,17
4,116,,4,04 - 4,,,,,,,,,19
5,120,,5,05 - 5,,,,,,,,,1A
6,118,,6,06 - 6,,,,,,,,,1B
7,122,,7,07 - 7,,,,,,,,,1C
8,245,,8,08 - 8,,,,,,,,,1D
9,249,,9,09 - 9,,,,,,,,,1E
vol up,040,,vol up,,,,,,Dev1,,,,04
vol down,056,,vol down,,,,,,Dev1,,,,05
mute,052,,mute,12 - mute,,,,,,,,,08
,,,channel up,13 - channel up,,,,,,,,,06
channel up,181,,channel down,14 - channel down,,,,,,,,,07
channel down,185,,power,15 - power,,,,,,,,,03
power,055,,,,,,,,,,,,
OK/enter/select,250,,,,,,,,,,,,
Video Format,167,,,,,,,,,,,,
Previous Channel,246,,menu,19 - menu,,,,,,,,,28
menu,247,,guide,20 - guide,,,,,,,,,21
guide,251,,up arrow,21 - up arrow,,,,,,,,,24
up arrow,181,,down arrow,22 - down arrow,,,,,,,,,25
down arrow,185,,left arrow,23 - left arrow,,,,,,,,,26
