Name:,Sony DHG-HDD250/500,,,,v8.33,,,,,,,CURRENT DATA
Devices:,Sony20,26,114,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,87,NO,,,,,,,
Setup:,1250,02 = URC-7800 / 6800,01 - Cable,EFC,USE,58 4E 00,1,,,,,
URC-7800 / 6800 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 04 E2 (Cable/1250) Sony DHG-HDD250/500 (KM v8.33),,,,,,,,,,,,
DE 0E 7E FE BE FD 58 4E 00 E4 DA C4 08 88 D8 58 38 98 18 B8 A8 D0 F6 4C 04 1C 6E 5C C6 BC FA 7A 76 4E CE AE 2E,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 DE (S3C8) Sony20 (KM v8.33),,,,,,,,,,,,
3A 8A 31 8B 14 F6 15 05 07 02 58 01 18 01 2C 01 18 57 D0 04 B0 01 18 08 03 76 06 01 6B 06 E6 28 F5 E6 01 02 8D 01 33,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,230,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,142,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,018,,1,01 - num 1,,,,,,,,
num 2,014,,2,02 - num 2,,,,,,,,
num 3,016,,3,03 - num 3,,,,,,,,
num 4,012,,4,04 - num 4,,,,,,,,
num 5,019,,5,05 - num 5,,,,,,,,
num 6,015,,6,06 - num 6,,,,,,,,
num 7,017,,7,07 - num 7,,,,,,,,
num 8,013,,8,08 - num 8,,,,,,,,
num 9,146,,9,09 - num 9,,,,,,,,
vol up,221,,vol up,38 - advance,,,,,,,,
vol down,225,,vol down,37 - replay,,,,,,,,
dot,160,,mute,41 - slow,,,,,,,,
channel/page up,082,,channel up,13 - channel/page up,,,,,,,,
channel/page down,078,,channel down,14 - channel/page down,,,,,,,,
power,079,,power,15 - power,,,,,,,,
menu,178,,enter,25 - enter,,,,,,,,
tv guide,129,,tv/vcr,26 - rec list,,,,,,,,
info,176,,prev ch,27 - favorite,,,,,,,,
exit,252,,menu,16 - menu,,,,,,,,
up arrow,064,,prog/guide,17 - tv guide,,,,,,,,
down arrow,060,,up arrow,20 - up arrow,,,,,,,,
left arrow,063,,down arrow,21 - down arrow,,,,,,,,
right arrow,067,,left arrow,22 - left arrow,,,,,,,,
select,065,,right arrow,23 - right arrow,,,,,,,,
enter,140,,select,24 - select,,,,,,,,
rec list,242,,sleep,39 - format,,,,,,,,
favorite,125,,pip on/off,28 - screen mode,,,,,,,,
screen mode,175,,display,18 - info,,,,,,,,
