Name:,Delphi RoadyXT XM Radio,,,,v8.34,,,,,,,CURRENT DATA
Devices:,RC-5,127,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,86,NO,,,,,,,
Setup:,1730,99 = URC-6131 PVR,12 - Misc Audio,OBC,USE,44 44 44,1,,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 36 C2 (Misc Audio/1730) Delphi RoadyXT XM Radio (KM v8.34),,,,,,,,,,,,
E8 05 70 2C CE 41 44 44 44 00 00 C8 BC B8 CC A0 14 00 7C 78 08 70 04 74,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 E8 (S3C8+) RC-5 (KM v8.34),,,,,,,,,,,,
40 9A 31 8B 0F C5 81 10 08 06 01 C2 01 A4 01 C2 01 A4 DE 2C 08 06 56 C0 03 09 01 76 00 01 6B 09 87 10 03 B6 C1 20 97 10 03 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,226,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,064,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,065,,1,01 - num 1,,,,,,,,
num 2,066,,2,02 - num 2,,,,,,,,
num 3,067,,3,03 - num 3,,,,,,,,
num 4,068,,4,04 - num 4,,,,,,,,
num 5,069,,5,05 - num 5,,,,,,,,
num 6,070,,6,06 - num 6,,,,,,,,
num 7,071,,7,07 - num 7,,,,,,,,
num 8,072,,8,08 - num 8,,,,,,,,
num 9,073,,9,09 - num 9,,,,,,,,
vol up,,,vol up,,,,,,,,,
vol down,,,vol down,,,,,,,,,
mute,077,,mute,10 - mute,"""Mute""",,,,,,,
channel up,080,,channel up,11 - channel up,,,,,,,,
channel down,081,,channel down,12 - channel down,,,,,,,,
power,076,,power,13 - power,,,,,,,,
menu,127,,enter,20 - enter,"""Menu""",,,,,,,
program/guide,125,,tv/vid,,"""Search""",,,,,,,
display/info,122,,prev,21 - last/prev ch,"""Display""",,,,,,,
