Name:,XMP3i Sat Radio,,,,v9.12,,,,,,,CURRENT DATA,
Devices:,RC-5,27,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,86,NO,,,,,,,,
Setup:,0000,27 = URC-9910 / 8910 / UEI HTPro,07 - SAT,OBC,USE,04 04 04,1,No,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 70 00 (SAT/0000) XMP3i Sat Radio (KM v9.12),,,,,,,,,,,,,
E8 04 3E FA 1E 61 04 04 04 BC B8 CC 04 0C 7C 78 C0 C4 70 00 1C 18 18 C0 C4 54 70,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 E8 (S3C8+) RC-5 (KM v9.12),,,,,,,,,,,,,
40 9A 31 8B 0F C5 81 10 08 06 01 C2 01 A4 01 C2 01 A4 DE 2C 08 06 56 C0 03 09 01 76 00 01 6B 09 87 10 03 B6 C1 20 97 10 03 8D 01 46,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,
num 0,064,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,
num 1,065,,1,01 - num 1,,,,,,,,,
num 2,066,,2,02 - num 2,,,,,,,,,
num 3,067,,3,03 - num 3,,,,,,,,,
num 4,068,,4,04 - num 4,,,,,,,,,
num 5,069,,5,05 - num 5,,,,,,,,,
num 6,070,,6,06 - num 6,,,,,,,,,
num 7,071,,7,07 - num 7,,,,,,,,,
num 8,072,,8,08 - num 8,,,,,,,,,
num 9,073,,9,09 - num 9,,,,,,,,,
vol up,,,vol up,,,,,,,,,,
vol down,,,vol down,,,,,,,,,,
mute,,,mute,,,,,,,,,,
channel up,080,,channel up,10 - channel up,,,,,,,,,
channel down,081,,channel down,11 - channel down,,,,,,,,,
power,076,,power,12 - power,,,,,,,,,
menu,127,,enter,18 - select,,,,,,,,,
program/guide,,,tv/vid,,,,,,,,,,
display/info,124,,prev,19 - last/prev ch,,,,,,,,,
exit,120,,menu,13 - menu,,,,,,,,,
up arrow,096,,guide,,,,,,,,,,
down arrow,097,,up arrow,16 - up arrow,,,,,,,,,
left arrow,,,down arrow,17 - down arrow,,,,,,,,,
right arrow,,,left arrow,21 - rewind,,,,,,,,,
select,099,,right arrow,22 - fast fwd,,,,,,,,,
enter,,,select,18 - select,,,,,,,,,
tv/vcr,,,sleep,,,,,,,,,,
last/prev ch,126,,pip,,,,,,,,,,
sleep,,,info,14 - display/info,,,,,,,,,
play,,,swap,,,,,,,,,,
pause,121,,move,,,,,,,,,,
rewind,079,,play,20 - pause,,,,,,,,,
fast fwd,078,,pause,20 - pause,,,,,,,,,
stop,,,rewind,21 - rewind,,,,,,,,,
record,106,,fwd,22 - fast fwd,,,,,,,,,
f.fwd/next track,,,stop,,,,,,,,,,
f.rew/prev track,,,record,23 - record,,,,,,,,,
+100,,,exit,15 - exit,,,,,,,,,
pip on/off,,,surround,,,,,,,,,,
pip swap,,,input,,,,,,,,,,
pip move,,,+100,,,,,,,,,,
pip freeze,,,fav/scan,,,,,,,,,,
,,,device button,,,,,,,,,,
,,,f fwd,,,,,,,,,,
,,,f rew,,,,,,,,,,
,,,com/skip,,,,,,,,,,
,,,shift-right,,,,,,,,,,
,,,pip freeze,,,,,,,,,,
,,,slow,,,,,,,,,,
,,,eject,,,,,,,,,,
,,,slow+,,,,,,,,,,
,,,slow-,,,,,,,,,,
,,,x2,,,,,,,,,,
,,,center,,,,,,,,,,
,,,rear,,,,,,,,,,
,,,phantom1,,,,,,,,,,
,,,phantom2,,,,,,,,,,
,,,phantom3,,,,,,,,,,
,,,phantom4,,,,,,,,,,
,,,phantom5,,,,,,,,,,
,,,phantom6,,,,,,,,,,
,,,phantom7,,,,,,,,,,
,,,phantom8,,,,,,,,,,
,,,phantom9,,,,,,,,,,
,,,phantom10,,,,,,,,,,
,,,setup,,,,,,,,,,
,,,light,,,,,,,,,,
,,,home theater,,,,,,,,,,
,,,M1,,,,,,,,,,
,,,M2,,,,,,,,,,
,,,M3,,,,,,,,,,
,,,macro4,,,,,,,,,,
,,,L1,,,,,,,,,,
,,,L2,,,,,,,,,,
,,,L3,,,,,,,,,,
,,,L4,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
