Name:,Onkyo RC-670E,,,,v9.06,,,,,,,CURRENT DATA
Devices:,NEC1 Combo (Official),210,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1008,99 = Atlas DVR,08 - Tape,EFC,USE,B4,2,No,,,,
Atlas DVR Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 13 F0 (Tape/1008) Onkyo RC-670E (KM v9.06),,,,,,,,,,,,
B6 00 FE FE F4 19 B4 00 00 7F 8C 7F CC 49 BF 7F 0C 7F 4C 49 3F 7F A6 7F 26 7F B4 49 BF 49 3F 49 E1 49 46 49 66 49 C1 7F 3C C9 CB 7F EC C9 28 7F 6C 7F 94 7F 2C 7F 2C 49 43 7F 6C 7F EC 7F 14 49 B3 7F BC C9 A9 7F 34 49 F3,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 B6 (S3C8+) NEC1 Combo (Official) (KM v9.06),,,,,,,,,,,,
43 8B 12 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 E4 05 06 60 06 20 10 46 29 0D 8D 01 49,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,0,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
Shuffle,111,1,0,,,Protocol ID,Fixed Data,,,,,
Select,114,1,1,04 - Playlist/Page Mode Up,,,,,,,,
