Name:,DishPVR 921,,,,v8.18,,,,,,,CURRENT DATA
Devices:,Dishplayer (old),1,0,1,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,56,NO,,,,,,,
Setup:,1775,99 = URC-6131 PVR,16 - PVR,EFC,USE,00 00 80 00 00,1,,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 26 EF (PVR/1775),,,,,,,,,,,,
02 15 3E FE FE BA F9 00 00 80 00 00 68 78 08 0D 80 C5 C9 84 7C 5C 00 2C 48 68 78 70 60 50 40 6C 94 1D 3D 98 58 E5 DD D9 D1 E1,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 02 (S3C8+),,,,,,,,,,,,
2B 5C 51 8B 14 B6 59 05 06 00 C5 03 32 00 C5 05 73 0B F2 00 C5 0B F2 05 03 08 03 37 00 0C E6 22 02 E6 0E 43 E6 0F 8B F6 01 55 18 08 56 C1 03 87 21 04 29 04 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,0,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,240,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,146,,1,01 - num 1,,00 02,00 00 00 00 00,,,,,
num 2,114,,2,02 - num 2,,00 02,00 80 00 00 00,,,,,
num 3,210,,3,03 - num 3,,,,,,,,
num 4,019,,4,04 - num 4,,,,,,,,
num 5,243,,5,05 - num 5,,,,,,,,
num 6,083,,6,06 - num 6,,,,,,,,
num 7,147,,7,07 - num 7,,,,,,,,
num 8,115,,8,08 - num 8,,,,,,,,
num 9,211,,9,09 - num 9,,,,,,,,
* (format),110,,vol up,,,,,*,,,,
# (Search),206,,vol down,,,,,,,,,
power toggle,082,,mute,,,,,,,,,
power on,242,,channel up,22 - up arrow (chan up),,,,,,,,
power off,174,,channel down,23 - down arrow (chan dwn),,,,,,,,
menu,051,,power,12 - power toggle,,,,,,,,
SD/HD,176,,enter,,,,,,,,,
guide,144,,tv/vid,16 - SD/HD,,,,,,,,
recall,049,,prev,18 - recall,,,,,,,,
cancel,080,,menu,15 - menu,,,,,,,,
left arrow,145,,guide,17 - guide,,,,,,,,
right arrow,017,,up arrow,22 - up arrow (chan up),,,,,,,,
up arrow (chan up),081,,down arrow,23 - down arrow (chan dwn),,,,,,,,
down arrow (chan dwn),209,,left arrow,20 - left arrow,,,,,,,,
select,016,,right arrow,21 - right arrow,,,,,,,,
info,018,,select,24 - select,,,,,,,,
view/live,208,,angle/sleep,26 - view/live,,,,,,,,
stop,238,,pip,35 - pip on/off,,,,,,,,
pause,014,,info,25 - info,,,,,,,,
record,177,,swap,36 - pip swap,,,,,,,,
rewind,228,,move,37 - pip move,,,,,,,,
fast FWD,068,,play,34 - play,,,,,,,,
skip-7,196,,pause,28 - pause,,,,,,,,
skip+30,164,,rewind,30 - rewind,,,,,,,,
play,042,,fast fwd,31 - fast fwd,,,,,,,,
pip on/off,069,,stop,27 - stop,,,,,,,,
pip swap,101,,record,29 - record,,,,,,,,
pip move,037,,exit,19 - cancel,,,,,,,,
page up,171,,surround,,,,,,,,,
page down,170,,audio/CC,,,,,,,,,
PVR,229,,+100,,,,,,,,,
DISH button,132,,fav/scan,,,,,,,,,
Red button,005,,device button,,,,,,,,,
,,,advance,33 - skip+30,,,,,,,,
,,,replay,32 - skip-7,,,,,,,,
,,,next track,39 - page down,,,,,,,,
,,,prev track,38 - page up,,,,,,,,
,,,PVR menu,40 - PVR,,,,,,,,
,,,subtitle,10 - * (format),,,,,,,,
,,,slow,11 - # (Search),,,,,,,,
,,,thumbs up,41 - DISH button,,,,,,,,
,,,thumbs down,42 - Red button,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
