Name:,DishNetwork DVR 522 IR Upgrade,,,,v8.07,,,,,,,CURRENT DATA
Devices:,Dishplayer (old),0,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,56,NO,,,,,,,
Setup:,1775,24 = URC-881x / 801x / 601x,01 - Cable,EFC,USE,,,,,,,
URC-881x / 801x / 601x Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 36 EF (Cable/1775),,,,,,,,,,,,
02 0C 3E FE F9 00 00 DC D8 08 78 48 50 70 E4 60 40 68 00 98 6C 5C 3C 1C 58,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 3B F3 36 EF 2C 20 F3 36 EF D0 3C F3 36 EF 1C 0C F3 36 EF 0C 0F F3 36 EF 80 0B F3 36 EF C4 0D F3 36 EF C8 0E F3 36 EF 84 10 F3 36 EF 7C,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 02 (S3C8+),,,,,,,,,,,,
2B 5C 51 8B 14 B6 59 05 06 00 C5 03 32 00 C5 05 73 0B F2 00 C5 0B F2 05 03 08 03 37 00 0C E6 22 02 E6 0E 43 E6 0F 8B F6 01 55 18 08 56 C1 03 87 21 04 29 04 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,240,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,146,,1,01 - num 1,,,,,,,,
num 2,114,,2,02 - num 2,,,,,,,,
num 3,210,,3,03 - num 3,,,,,,,,
num 4,019,,4,04 - num 4,,,,,,,,
num 5,243,,5,05 - num 5,,,,,,,,
num 6,083,,6,06 - num 6,,,,,,,,
num 7,147,,7,07 - num 7,,,,,,,,
num 8,115,,8,08 - num 8,,,,,,,,
num 9,211,,9,09 - num 9,,,,,,,,
vol up,,,vol up,,,,,,,,,
vol down,,,vol down,,,,,,,,,
mute,,,mute,,,,,,,,,
,,,channel up,31 - skip +30,,,,,,,,
,,,channel down,32 - skip -10,,,,,,,,
power,082,,power,10 - power,,,,,,,,
Select,016,,enter,36 - # (search),,,,,,,,
tv/video,176,,tv/vid,12 - tv/video,,,,,,,,
Recall (prev ch),049,,prev,13 - Recall (prev ch),,,,,,,,
System menu,051,,menu,30 - DVR (recorded events),,,,,,,,
program guide,144,,guide,15 - program guide,,,,,,,,
up arrow (Ch +),081,,up arrow,16 - up arrow (Ch +),,,,,,,,
down arrow (Ch -),209,,down arrow,17 - down arrow (Ch -),,,,,,,,
left arrow (Theme),145,,left arrow,18 - left arrow (Theme),,,,,,,,
right arrow (Browse),017,,right arrow,19 - right arrow (Browse),,,,,,,,
,,,select,11 - select,,,,,,,,
View (Live),208,,sleep,20 - View (Live),,,,,,,,
