Name:,DishPVR 721,,,,v8.11,,,,,,,CURRENT DATA
Devices:,Device Combiner,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1000,05 = RCU810,07 - SAT,EFC,USE,,,,,,,
RCU810 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 1B D7 (SAT/1000),,,,,,,,,,,,
44 00 B6 FE FE F9 00 00 00 44 00 10 00 14 00 18 00 20 00 24 00 28 00 30 00 34 00 38 01 DC 01 D8 00 08 00 44 00 6C 00 00 00 98 01 E4 00 50 00 40 00 48 00 68 00 78 00 70 00 60 00 58 01 E8 01 F4 01 0C 00 80 01 C4 01 C8 00 84 00 7C,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 3C F4 13 D7 00 04 3D F4 13 D7 00 9C 25 F4 13 D7 01 1C 27 F4 13 D7 01 3C 94 F4 13 D7 00 2C,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,
Upgrade Protocol 0 = 01 44 (S3C8+),,,,,,,,,,,,
00 00 22 08 06 96 10 04 90 05 6B 03 E4 05 0D 38 04 2C FF E7 62 41 E7 32 40 E3 42 E3 52 1C 03 E3 72 D7 17 1E A2 36 3B F7 97 01 FF 06 D9 02 56 95 EF C6 C2 11 B7 70 C3 70 C2 C6 DA 1E 79 1F 1E 1C 43 47 4B 00 02 00 00 00 02 00 80,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,214,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,240,0,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,146,0,1,01 - num 1,,00 02,00 00,,,,,
num 2,114,0,2,02 - num 2,,00 02,00 80,,,,,
num 3,210,0,3,03 - num 3,,,,,,,,
num 4,019,0,4,04 - num 4,,,,,,,,
num 5,243,0,5,05 - num 5,,,,,,,,
num 6,083,0,6,06 - num 6,,,,,,,,
num 7,147,0,7,07 - num 7,,,,,,,,
num 8,115,0,8,08 - num 8,,,,,,,,
num 9,211,0,9,09 - num 9,,,,,,,,
vol up,,,vol up,,,,,*,,,,
vol down,,,vol down,,,,,,,,,
mute,,,mute,,,,,,,,,
*,110,0,channel up,33 - skip+30,,,,,,,,
#/Search,206,0,channel down,32 - skip-7,,,,,,,,
power toggle,082,0,on/off,12 - power toggle,,,,,,,,
power on,242,0,enter,00 - *,,,,,,,,
power off,174,0,tv/vcr,11 - #/Search,,,,,,,,
menu,051,0,go back,18 - recall,,,,,,,,
TV/Video,176,0,menu,40 - PVR,,,,,,,,15 - menu
guide,144,0,guide,17 - guide,,,,,,,,
recall,049,0,up arrow,22 - up arrow,,,,,,,,
cancel,080,0,down arrow,23 - down arrow,,,,,,,,
left arrow,145,0,left arrow,20 - left arrow,,,,,,,,
right arrow,017,0,right arrow,21 - right arrow,,,,,,,,
up arrow,081,0,select,24 - select,,,,,,,,
down arrow,209,0,sleep,,,,,,,,,
select,016,0,pip on/off,35 - pip on/off,,,,,,,,
info,018,0,info,25 - info,,,,,,,,
view/live,208,0,pip swap,36 - pip swap,,,,,,,,
stop,238,0,pip move,,,,,,,,,
pause,014,0,play,34 - play,,,,,,,,
record,177,0,pause,28 - pause,,,,,,,,
rewind,236,1,rewind,30 - rewind,,,,,,,,
fast FWD,076,1,fast fwd,31 - fast fwd,,,,,,,,
skip-7,204,1,stop,27 - stop,,,,,,,,
skip+30,172,1,record,29 - record,,,,,,,,
play,050,1,clear,19 - cancel,,,,,,,,
pip on/off,077,1,surround,,,,,,,,,
pip swap,109,1,input,26 - view/live,,,,,,,,
pip move,045,1,+100,,,,,,,,,
page up,179,1,fav/scan,,,,,,,,,
page down,178,1,device button,,,,,,,,,
PVR,237,1,next track,,,,,,,,,
DISH button,140,1,prev track,,,,,,,,,
Red button,013,1,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,13 - power on,,,,,,,,
,,,phantom2,14 - power off,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,L1,39 - page down,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,38 - page up,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
