Name:,SONY Minisystem RXD10AV 1575,,,,v8.11,,,,,,,CURRENT DATA
Devices:,Sony Combo,57,153,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,87,NO,,,,,,,
Setup:,1575,01 = 15-1994,05 - Tuner,OBC,USE,,,,,,,
15-1994 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 46 27 (Tuner/1575),,,,,,,,,,,,
27 00 DC 2E 1E A1 9C 99 00 00 00 00 4C 88 2E 70 F0 B0 00 00 00 00 00 00 00 00 00 00 00 00 48 08 C8 08 00 00 A8 08 96 30 9C 30 7C 88 8C 59 0C 59 96 30 4C 88 9C 59 CC 59 2C 59 1C 59 F0 88,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 3A F4 46 27 3E 48 3B F4 46 27 14 30 96 F4 46 27 2C 70 8B F4 46 27 8C 59 8D F4 46 27 0C 59,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,
Upgrade Protocol 0 = 00 27 (S3C8),,,,,,,,,,,,
3A 8A 42 8B 15 F8 15 05 07 02 58 01 18 01 2C 01 18 57 D0 04 B0 01 18 08 03 08 76 07 01 EB 17 76 08 01 6B 0F E6 28 F9 E6 12 08 08 08 E0 C0 56 C0 03 09 01 E6 24 05 8D 01 36,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,214,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
SLEEP,096,5 16,0,,12*16,Protocol ID,Fixed Data,,,,,
FUNCTION,105,5 12,1,03 - CD PLAY,12*12,,,,,,,
POWER,021,5 16,2,07 - DECK A,12*16,,,,,,,09 - DECK B
CD PLAY,050,5 17,3,05 - TUNER/BAND,12*17,,,,,,,
DISC SKIP,062,5 17,4,,12*17,,,,,,,
TUNER/BAND,015,5 13,5,,12*13,,,,,,,
CHECK,013,5 17,6,,12*17,,,,,,,
DECK A,116,5 14,7,,12*14,,,,,,,
CLEAR,015,5 17,8,,12*17,,,,,,,
DECK B,052,5 14,9,,12*14,,,,,,,
TUNING + / SKIP FORWARD,048,1 26,vol up,31 - VOLUME +,20*26*57,,,,,,,
TUNING - / SKIP BACK,049,1 26,vol down,32 - VOLUME -,20*26*57,,,,,,,
STOP,056,1 26,mute,,20*26*57,,,,,,,
PAUSE,057,1 26,channel up,,20*26*57,,,,,,,
REWIND,051,1 26,channel down,,20*26*57,,,,,,,
FAST FORWARD,052,1 26,power,02 - power,20*26*57,,,,,,,
MD PLAY,042,5 15,enter,01 - FUNCTION,12*15,,,,,,,
MD PAUSE,041,5 15,tv/vcr,24 - PRO LOGIC ON/OFF,12*15,,,,,,,
MD STOP,040,5 15,last,,12*15,,,,,,,
FILE SELECT UP,124,5 18,menu,,12*18,,,,,,,
FILE SELECT DOWN,125,5 18,program / guide,,12*18,,,,,,,
ON/OFF,040,5 12,up arrow,04 - DISC SKIP,12*12,,,,,,,
FLASH,119,2 26,down arrow,,20*26*153,,,,,,,
LOOP,120,5 17,left arrow,11 - TUNING - / SKIP BACK,12*17,,,,,,,
PRO LOGIC ON/OFF,057,5 12,right arrow,10 - TUNING + / SKIP FORWARD,12*12,,,,,,,
