Name:,Seagate Freeagent Theater+,,,,v9.17,,,,,,,,CURRENT DATA
Devices:,NEC1,134,226,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,0505,99 = URC-8820 / 10820 / 6820,07 - SAT,EFC,USE,20 9E B8,1,No,,,,,
URC-8820 / 10820 / 6820 Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 01 F9 (SAT/0505) Seagate Freeagent Theater+ (KM v9.17),,,,,,,,,,,,,
5A 00 36 FC FC E1 20 9E B8 53 EF E3 FD 7D 1F 9F 8F 63 1D 27 A7 0D 0D B5 75 D5 8F F3 73,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (HCS08) NEC1 (KM v9.17),,,,,,,,,,,,,
20 15 22 47 31 CF 44 08 08 01 17 01 1A 01 17 03 4D D2 F0 11 93 08 CA 3C AC 05 60 1D CD FF 98 24 18 0A 60 07 4E 62 61 33 62 20 16 B6 61 A8 80 B7 61 B6 62 A8 80 B7 62 20 08 0A 60 05 4E 61 62 33 62 4E 63 64 33 64 6E 02 AA 07 60 05 CD FF 8F 25 10 08 60 12 03 60 05 AD 0A CD FF 5F 00 60 02 16 A3 10 A3 CC FF 5C 55 78 35 76 00 60 F4 AD F4 6E C1 A2 33 61 6E 01 6A 20,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,477,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,,,0,,,Protocol ID,Fixed Data,,,,,,1F
num 1,,,1,,,,,,,,,,15
num 2,,,2,,,,,,,,,,16
num 3,,,3,,,,,,,,,,17
num 4,,,4,,,,,,,,,,19
num 5,,,5,,,,,,,,,,1A
num 6,,,6,,,,,,,,,,1B
num 7,,,7,,,,,,,,,,1C
num 8,,,8,,,,,,,,,,1D
num 9,,,9,,,,,,,,,,1E
vol up,,,vol up,,,,,,,,,,04
vol down,,,vol down,,,,,,,,,,05
mute,233,,mute,,,,,,,,,,08
channel up,151,,channel up,21 - zoom in,,,,,,,,,06
channel down,155,,channel down,22 - zoom out,,,,,,,,,07
power,021,,power,03 - power,,,,,,,,,03
sleep,,,enter,04 - enter,,,,,,,,,12
enter,054,,,,,,,,,,,,
+100,,,prev,,,,,,,,,,13
prev ch/last,,,menu,05 - menu,,,,,,,,,27
fav,,,guide,06 - guide,,,,,,,,,2C
tv/vcr,,,up arrow,09 - up arrow,,,,,,,,,31
input,,,down arrow,10 - down arrow,,,,,,,,,32
option,,,left arrow,11 - left arrow,,,,,,,,,33
menu,247,,right arrow,12 - right arrow,,,,,,,,,34
guide,025,,ok,13 - ok/select,,,,,,,,,35
info/display,170,,sleep,,,,,,,,,,28
exit,251,,pip,,,,,,,,,,36
up arrow,165,,info,07 - info/display,,,,,,,,,26
down arrow,169,,swap,,,,,,,,,,37
left arrow,186,,move,,,,,,,,,,14
right arrow,182,,play,14 - play,,,,,,,,,0C
ok/select,054,,pause,15 - pause,,,,,,,,,0F
yellow/A,,,rewind,16 - rewind,,,,,,,,,0B
blue/B,,,fast fwd,17 - fast fwd,,,,,,,,,0D
red/C,,,stop,18 - stop,,,,,,,,,0E
green/D,,,record,,,,,,,,,,10
page up,,,exit,08 - exit,,,,,,,,,2B
page down,,,,,,,,,,,,,
day+,,,input,,,,,,,,,,20
day-,,,+100,,,,,,,,,,38
play,042,,fav,,,,,,,,,,18
pause,042,,,,,,,,,,,,
rewind,103,,skip+,19 - skip+/next+,,,,,,,,,2D
fast fwd,105,,skip-,20 - skip-/next-,105,,,,,,,,2E
stop,100,,,,,,,,,,,,
record,,,,,,,,,,,,,
skip+/next+,149,,,,149,,,,,,,,
skip-/next-,153,,,,153,,,,,,,,
list/PVR menu,,,,,,,,,,,,,
replay,,,,,,,,,,,,,
advance/jump,,,,,,,,,,,,,
live TV,,,,,,,,,,,,,
thumbs up,,,,,,,,,,,,,
thumbs down,,,,,,,,,,,,,
open-close/eject,,,phantom1,,,,,,,,,,3B
pip on/off,,,phantom2,,,,,,,,,,3F
pip swap,,,phantom3,,,,,,,,,,40
pip move,,,phantom4,,,,,,,,,,41
pip freeze,,,,,,,,,,,,,
pip channel up,,,,,,,,,,,,,
pip channel down,,,,,,,,,,,,,
caption,,,,,,,,,,,,,
aspect,,,,,,,,,,,,,
zoom in,152,,,,,,,,,,,,
zoom out,053,,setup,,,,,,,,,,02
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,M1,,,,,,,,,,3C
,,,M2,,,,,,,,,,3D
,,,(M3),,,,,,,,,,3E
,,,,,,,,,,,,,
,,,L1,,,,,,,,,,23
,,,L2,,,,,,,,,,24
,,,L3,,,,,,,,,,25
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,CC,,,,,,,,,,30
,,,format,,,,,,,,,,2F
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
