Name:,Panasonic SA-HT15,,,,v9.22,,,,,,,,CURRENT DATA
Devices:,Panasonic Combo,160,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,1308,99 = RCA RCRP05B,05 - Tuner,OBC,USE,BF FB FA,2,No,,,,,
RCA RCRP05B Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code2 0 = 35 1C (Tuner/1308) Panasonic SA-HT15 (KM v9.22),,,,,,,,,,,,,
00 CD 00 FC 1E FE CE 9E 40 06 81 BF FB FA DF 67 DF F7 DF 77 DF B7 DF 37 DF D7 DF 57 DF 97 DF 17 DF E7 FF FB FF 7B FF B3 DF D3 DF 53 FF 43 FF B6 DF DA DF EE FF FF D7 EE DF 9E DF 1E D7 42 D7 C2 D7 B2 D7 8A D7 82 FF A6 FF 06 FF 86 DF DE FF EA D7 73 D7 02 D7 30 FF 83 FF EA D7 90 FF 6C FF 03 D7 FA FF 3A,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 CD (S3C8+) Panasonic Combo (KM v9.22),,,,,,,,,,,,,
45 91 32 8B 12 8F 45 08 08 00 DA 00 C6 00 DA 02 7B 90 C9 06 D0 03 54 E4 05 08 B4 06 08 B4 07 08 20 11 8D 01 46,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,439,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
display input,000,0,0,29 - 0,,Protocol ID,Fixed Data,,,,,,1F
