Name:,NexxTech HTS ESDVD100,,,,v8.32,,,,,,,CURRENT DATA
Devices:,NEC1,67,71,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,2030,27 = URC-9910 / 8910 / UEI HTPro,06 - DVD,EFC,USE,20 3D 1D,1,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 27 EE (DVD/2030) NexxTech HTS ESDVD100 (KM v8.32),,,,,,,,,,,,
5A 03 7E FE FE ED 20 3D 1D CF 4F C7 F3 73 0B 8F 27 57 97 0F F7 AF 77 D7 B7 37 8B 2B 7B 9B D3 DB A7 6B 13 E7 17,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 30 F3 27 EE AB«sleep»  ¦2D F3 27 EE B3«listening» ¦2E F3 27 EE 3B«goto»¦2F F3 27 EE 93«repeat» ¦25 F3 27 EE EB«language»  ¦26 F3 27 EE 4B«subtitle»  ¦27 F3 27 EE 5B«return/title» ¦28 F3 27 EE 67«angle»  ¦88 F3 27 EE 13«a-b» ¦87 F3 27 EE AF«menu/PBC»  ¦98 F3 27 EE 93«repeat» ¦B6 F3 27 EE 9B«setup»  ¦B1 F3 27 EE 3B«goto»¦B4 F3 27 EE B3«listening» ¦B5 F3 27 EE 6B«P/I» ¦8D F3 27 EE 67«angle»  ¦8E F3 27 EE 5B«return/title» ¦90 F3 27 EE 8B«eject»  ¦AA F3 27 EE EB«language»  ¦A9 F3 27 EE 4B«subtitle»  ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v8.32),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,181,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,185,,1,01 - num 1,,,,,,,,
num 2,183,,2,02 - num 2,,,,,,,,
num 3,187,,3,03 - num 3,,,,,,,,
num 4,180,,4,04 - num 4,,,,,,,,
num 5,184,,5,05 - num 5,,,,,,,,
num 6,182,,6,06 - num 6,,,,,,,,
num 7,186,,7,07 - num 7,,,,,,,,
num 8,053,,8,08 - num 8,,,,,,,,
num 9,057,,9,09 - num 9,,,,,,,,
vol up,052,,vol up,10 - vol up,,,,,,,,
vol down,056,,vol down,11 - vol down,,,,,,,,
mute,244,,mute,12 - mute,,,,,,,,34 - a-b
channel up,,,channel up,41 - night,,,,,,,,
channel down,,,channel down,42 - dim,,,,,,,,14 - menu/PBC
power,090,,power,13 - power,,,,,,,,
menu/PBC,055,,enter,38 - zoom,,,,,,,,33 - repeat
program/guide,212,,tv/vid,32 - source,,,,,,,,
display/info,,,prev,45 - EQ,,,,,,,,
exit,,,menu,14 - menu/PBC,,,,,,,,
up arrow,121,,guide,15 - program/guide,,,,,,,,30 - setup
down arrow,116,,up arrow,16 - up arrow,,,,,,,,40 - goto
left arrow,119,,down arrow,17 - down arrow,,,,,,,,
right arrow,123,,left arrow,18 - left arrow,,,,,,,,
select,091,,right arrow,19 - right arrow,,,,,,,,44 - listening
enter,,,select,20 - select,,,,,,,,31 - P/I
tv/vcr,,,sleep,21 - sleep,,,,,,,,
last/prev ch,,,pip,31 - P/I,,,,,,,,
sleep,087,,info,30 - setup,,,,,,,,
play,054,,swap,34 - a-b,,,,,,,,
pause,,,move,,,,,,,,,
rewind,120,,play,22 - play,,,,,,,,
fast fwd,118,,pause,29 - step/memory,,,,,,,,
stop,058,,rewind,23 - rewind,,,,,,,,
record,,,fwd,24 - fast fwd,,,,,,,,39 - angle
f.fwd/next track,245,,stop,25 - stop,,,,,,,,43 - return/title
f.rew/prev track,122,,record,35 - ok,,,,,,,,28 - eject
+100,,,exit,28 - eject,,,,,,,,
pip on/off,,,surround,,,,,,,,,
pip swap,,,input,,,,,,,,,
pip move,,,+100,,,,,,,,,
pip freeze,,,fav/scan,,,,,,,,,
eject,086,,device button,,,,,,,,,
step/memory,251,,f fwd,26 - f.fwd/next track,,,,,,,,36 - language
setup,214,,f rew,27 - f.rew/prev track,,,,,,,,37 - subtitle
P/I,089,,com/skip,,,,,,,,,
source,217,,shift-right,,,,,,,,,
repeat,150,,pip freeze,,,,,,,,,
a-b,154,,slow,,,,,,,,,
ok,117,,eject,,,,,,,,,
language,085,,slow+,,,,,,,,,
subtitle,088,,slow-,,,,,,,,,
zoom,247,,x2,,,,,,,,,
angle,249,,center,,,,,,,,,
goto,219,,rear,,,,,,,,,
night,149,,phantom1,,,,,,,,,
dim,153,,phantom2,,,,,,,,,
return/title,216,,phantom3,,,,,,,,,
listening,151,,phantom4,,,,,,,,,
EQ,148,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,44 - listening,,,,,,,,
,,,M2,40 - goto,,,,,,,,
,,,M3,33 - repeat,,,,,,,,
,,,macro4,,,,,,,,,
,,,L1,36 - language,,,,,,,,
,,,L2,37 - subtitle,,,,,,,,
,,,L3,43 - return/title,,,,,,,,
,,,L4,39 - angle,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
NexxTech Home Theater System ESDVD100,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
