Name:,Sony MHC-MG310AV,,,,v7.29,,,,,,,CURRENT DATA
Devices:,Sony Combo,57,73,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,87,NO,,,,,,,
Setup,2042,99 = Sony Tivo,03 - VCR,OBC,USE,,,,,,,
Device Upgrade Code:,,,,Protocol Code:,,,,,,,,
Upgrade code 0 = 27 FA (VCR/2042),,,,Upgrade protocol 0 = 00 27 (S3C8),,,,,,,,
27 FA FE F0 E1 9C 92 00 00 9C 30 A4 08 F0 B0 9E,,,,3A 8A 42 8B 15 F8 15 05 07 02 58 01 18 01 2C 01,,,,,,,,
08 96 08 BE 08 3E 08 FC 30 5E 08 8C 30 48 08 C8,,,,18 57 D0 04 B0 01 18 08 03 08 76 07 01 EB 17 76,,,,,,,,
08 28 80 8C 59 0C 59 A8 08 1A 59 B4 59 14 59 8C,,,,08 01 6B 0F E6 28 F9 E6 12 08 08 08 E0 C0 56 C0,,,,,,,,
59 0C 59 BC 88 7C 88 3E 59 1C 59 BC 08 9C 59 2C,,,,03 09 01 E6 24 05 8D 01 36,,,,,,,,
59 CC 59 3E 59 F0 59 D2 08,,,,End,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Key Move Code:,,,229,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
num 0,009,1 26,0,29 - Dolby Pro Logic,(Tuner/1042 dev1),Protocol ID,Fixed Data,,,,,
num 1,000,1 26,1,37 - cd,(Tuner/1042 dev1),,,,,,,
num 2,001,1 26,2,38 - tuner/band,(Tuner/1042 dev1),,,,,,,
num 3,002,1 26,3,39 - tape A/B,(Tuner/1042 dev1),,,,,,,
num 4,003,1 26,4,40 - video (MD),(Tuner/1042 dev1),,,,,,,
num 5,004,1 26,5,41 - 5.1ch,(Tuner/1042 dev1),,,,,,,
num 6,005,1 26,6,42 - game,(Tuner/1042 dev1),,,,,,,
num 7,006,1 26,7,26 - surround,(Tuner/1042 dev1),,,,,,,
num 8,007,1 26,8,27 - groove,(Tuner/1042 dev1),,,,,,,
num 9,008,1 26,9,28 - dbfb,(Tuner/1042 dev1),,,,,,,
vol up,018,16,vol up,10 - vol up,*(Tuner/0158 dev1),,,,,,,
vol down,019,16,vol down,11 - vol down,*(Tuner/0158 dev1),,,,,,,
mute,,,mute,54 - Sony TV Mute,,,,,,,,
channel up,049,1 26,channel up,12 - channel up,*(Tuner/1042 dev1) track/preset+,,,,,,,
channel down,048,1 26,channel down,13 - channel down,*(Tuner/1042 dev1) track/preset-,,,,,,,
power,021,16,Tivo power,14 - power,*(Tuner/0158 dev1),,,,,,,
enter,124,1 26,enter/jump,15 - enter,(Tuner/1042 dev1),,,,,,,
